Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019/10/28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,
Aruba,ABW,Urban population,SP.URB.TOTL,42444,43048,43670,44246,44669,44889,44882,44686,44378,44053,43778,43819,44057,44348,44665,44979,45296,45616,45948,
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,1.182632371,1.413021218,1.434559531,1.310360439,0.951477684,0.491302715,-0.015595237,-0.437657004,-0.691640231,-0.735039665,-0.62620464,0.093610519,0.541673681,0.658336182,0.712258524,0.700551703,0.702301419,0.70398038,0.725179011,
Aruba,ABW,"Population, total",SP.POP.TOTL,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.79954624,0.384052418,0.134267964,0.095654625,0.210708808,0.370125352,0.502430116,0.582349411,0.594397037,0.544892394,0.50761773,0.469944453,0.453575639,
Aruba,ABW,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,97.14286,94.40407,94.75524,90.21592,90.5599,88.19797,93.18612,95.58824,95.13303,96.24258,94.7861,,,96.57064,101.1806,,,,,
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.99266,0.99949,0.989,0.97706,0.95291,0.96339,0.96798,0.98676,1.00561,1.00444,1.0146,1.00871,1.02156,,,,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.410021828,0.40514984,0.402215827,0.401381979,0.391652043,0.386673058,0.39375576,0.405233924,0.380728531,0.440397943,,,,,,,,,,
Aruba,ABW,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,,,,,,,,,,,,,,0.527983105,0.141163456,0.141163456,
Aruba,ABW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,,,,,,,,,,0.000105157,0.000105157,
