year,extent (millions of square kilometers),extent (millions of square kilometers),海平面上升變化（毫米）,海面異常溫度,,,,冰川面積-13*10
2000,14.2,12,52,0.3,,,,
2001,14.2,12,68,0.36,,,,
2002,14.25,12.5,42,0.48,,,,
2003,14.35,13.5,43,0.49,,,,
2004,14,10,50,0.52,,,,
2005,13.7,7,20,0.49,,,,
2006,13.5,5,59,0.49,,,,
2007,13.7,7,48,0.52,,,,
2008,13.9,9,58,0.38,,,,
2009,13.8,8,65,0.43,,,,
2010,13.65,6.5,66,0.6,,,,
2011,13.5,5,67,0.51,,,,
2012,13.75,7.5,121,0.43,,,,
2013,13.65,6.5,98,0.53,,,,
2014,13.6,6,110,0.55,,,,
2015,13.5,5,90,0.65,,,,
,,,,,,,,
,,,66.0625,,,,,
